都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
092088,0110000029,栃木県,小山市,思川アプローチ広場,オモイガワアプローチヒロバ,,栃木県小山市大字小山2374,,,36.317120,139.799033,2,2,0,0,1,1,0,1,0,1,0,有,無,無,,,,,,
092088,0110000030,栃木県,小山市,小山思いの森,オヤマオモイノモリ,,栃木県小山市神鳥谷2251-9,,駐車場東側,36.274896,139.802408,3,2,0,1,1,0,1,1,0,1,0,有,無,無,,,,,,
092088,0110000031,栃木県,小山市,小山思いの森,オヤマオモイノモリ,,栃木県小山市神鳥谷2251-9,,園内南側,36.273711,139.799546,1,1,0,0,1,0,1,1,0,1,0,有,無,無,,,,,,
092088,0110000032,栃木県,小山市,小山総合公園,オヤマソウゴウコウエン,,栃木県小山市外城371-1,,第2駐車場西側,36.302926,139.780199,2,1,0,1,1,0,1,0,0,0,0,無,無,無,,,,,,
092088,0110000033,栃木県,小山市,小山総合公園,オヤマソウゴウコウエン,,栃木県小山市外城371-1,,サイクリングセンター北側,36.303279,139.781362,4,3,0,1,3,0,3,0,0,0,0,無,無,無,,,,,,
092088,0110000034,栃木県,小山市,小山総合公園,オヤマソウゴウコウエン,,栃木県小山市外城371-1,,森のフォーラム北側,36.302463,139.781519,3,2,0,1,2,0,2,1,0,1,0,有,無,無,,,,,,
092088,0110000035,栃木県,小山市,小山総合公園,オヤマソウゴウコウエン,,栃木県小山市外城371-1,,わんぱく広場,36.301648,139.782822,3,2,0,1,2,0,2,0,0,0,0,無,無,無,,,,,,
092088,0110000036,栃木県,小山市,小山総合公園,オヤマソウゴウコウエン,,栃木県小山市外城371-1,,バーベキュー場,36.303936,139.784159,5,4,0,1,4,0,4,0,0,0,0,無,無,無,,,,,,
092088,0110000037,栃木県,小山市,学校北公園,ガッコウキタコウエン,,栃木県小山市間々田2461-1,,,36.277996,139.766672,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000038,栃木県,小山市,神久保公園,カミクボコウエン,,栃木県小山市神鳥谷2-29,,,36.299913,139.792117,3,2,1,0,2,2,0,0,0,0,0,無,無,無,,,,,,
092088,0110000039,栃木県,小山市,神山公園,カミヤマコウエン,,栃木県小山市神山1-1098,,,36.302535,139.799928,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000040,栃木県,小山市,喜沢公園,キザワコウエン,,栃木県小山市城北2-9-6,,,36.328425,139.816801,0,0,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000041,栃木県,小山市,北浦公園,キタウラコウエン,,栃木県小山市乙女1-22,,,36.264181,139.757045,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000042,栃木県,小山市,希望ヶ丘公園,キボウガオカコウエン,,栃木県小山市西城南5-5,,園内北側,36.294132,139.799028,2,2,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
092088,0110000043,栃木県,小山市,希望ヶ丘公園,キボウガオカコウエン,,栃木県小山市西城南5-5,,園内西側,36.294849,139.799758,2,2,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
092088,0110000044,栃木県,小山市,五料公園,ゴリョウコウエン,,栃木県小山市東間々田1-1,,,36.275305,139.776689,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000045,栃木県,小山市,さくら公園,サクラコウエン,,栃木県小山市城東7-31,,,36.306952,139.822864,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
