全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,POIコード,所在地_連結表記,建物名等(方書),緯度,経度,管理番号,公簿面積,備考
092088,0114000045,栃木県小山市,赤堀公園,アカボリコウエン,1003,栃木県小山市羽川543-21,,139.835328,36.365518,,,
092088,0114000046,栃木県小山市,赤堀４号公園,アカボリヨンゴウコウエン,1003,栃木県小山市羽川553-24,,139.83422,36.363748,,,
092088,0114000047,栃木県小山市,赤堀３号公園,アカボリサンゴウコウエン,1003,栃木県小山市羽川558-33,,139.835195,36.364107,,,
092088,0114000048,栃木県小山市,赤堀２号公園,アカボリニゴウコウエン,1003,栃木県小山市羽川570-18,,139.835288,36.363227,,,
092088,0114000049,栃木県小山市,山ノ内公園,ヤマノウチコウエン,1003,栃木県小山市羽川576-32,,139.835916,36.364368,,,
092088,0114000050,栃木県小山市,下田１号公園,シモダイチゴウコウエン,1003,栃木県小山市羽川60-76,,139.825185,36.351486,,,
092088,0114000051,栃木県小山市,下田西４号公園,シモダニシヨンゴウコウエン,1003,栃木県小山市羽川7-25,,139.823399,36.350944,,,
092088,0114000052,栃木県小山市,二ノ窪公園,ニノクボコウエン,1003,栃木県小山市羽川834-39,,139.825751,36.346911,,,
092088,0114000053,栃木県小山市,下田西２号公園,シモダニシニゴウコウエン,1003,栃木県小山市羽川9-40,,139.821466,36.351862,,,
092088,0114000054,栃木県小山市,羽川ふれあい公園（下田公園）,ハネカワフレアイコウエン（シモダコウエン）,1003,栃木県小山市羽川94-1,,139.827279,36.350301,,,
092088,0114000055,栃木県小山市,上往還西２号公園,カミオウカンニシニゴウコウエン,1003,栃木県小山市羽川字上往還284-35,,139.83001,36.364153,,,
092088,0114000056,栃木県小山市,本田１０号公園,ホンデンジュウゴウコウエン,1003,栃木県小山市雨ヶ谷772-55,,139.818376,36.283265,,,
092088,0114000057,栃木県小山市,愛宕前公園,アタゴマエコウエン,1003,栃木県小山市雨ヶ谷17,,139.811035,36.286023,,,
